State,Number of CoCs,"Overall Homeless, 2008","Sheltered ES Homeless, 2008","Sheltered TH Homeless, 2008","Sheltered Total Homeless, 2008","Unsheltered Homeless, 2008","Overall Homeless Individuals, 2008","Sheltered ES Homeless Individuals, 2008","Sheltered TH Homeless Individuals, 2008","Sheltered Total Homeless Individuals, 2008","Unsheltered Homeless Individuals, 2008","Overall Homeless People in Families, 2008","Sheltered ES Homeless People in Families, 2008","Sheltered TH Homeless People in Families, 2008","Sheltered Total Homeless People in Families, 2008","Unsheltered Homeless People in Families, 2008","Overall Homeless Family Households, 2008","Sheltered ES Homeless Family Households, 2008","Sheltered TH Homeless Family Households, 2008","Sheltered Total Homeless Family Households, 2008","Unsheltered Homeless Family Households, 2008","Overall Chronically Homeless Individuals, 2008","Sheltered Total Chronically Homeless Individuals, 2008","Unsheltered Chronically Homeless Individuals, 2008","Overall Homeless Veterans, 2008","Sheltered Total Homeless Veterans, 2008","Unsheltered Homeless Veterans, 2008"
AK,2,"1,646",847,605,"1,452",194,"1,067",557,355,912,155,579,290,250,540,39,172,83,75,158,14,439,355,84,218,189,29
AL,8,"5,387","1,534","2,309","3,843","1,544","4,086","1,159","1,644","2,803","1,283","1,301",375,665,"1,040",261,483,131,245,376,107,"1,052",579,473,801,677,124
AR,6,"3,255","1,048",972,"2,020","1,235","2,625",860,757,"1,617","1,008",630,188,215,403,227,285,76,81,157,128,893,492,401,235,219,16
AS,0, , , , , , , , , , , , , , , , , , , , , , , , , , 
AZ,3,"12,488","3,104","3,866","6,970","5,518","8,428","1,782","1,594","3,376","5,052","4,060","1,322","2,272","3,594",466,"1,277",404,681,"1,085",192,"3,097","1,223","1,874",736,736,0
CA,42,"136,531","22,917","24,048","46,965","89,566","109,050","16,233","12,272","28,505","80,545","27,481","6,684","11,776","18,460","9,021","8,924","2,175","3,682","5,857","3,067","40,254","6,206","34,048","17,276","5,735","11,541"
CO,3,"14,747","3,492","3,385","6,877","7,870","6,260","2,104",880,"2,984","3,276","8,487","1,388","2,505","3,893","4,594","2,457",385,830,"1,215","1,242","1,082",449,633,"1,608",915,693
CT,12,"4,627","2,409","1,611","4,020",607,"2,773","1,503",682,"2,185",588,"1,854",906,929,"1,835",19,623,310,306,616,7,875,578,297,524,401,123
DC,1,"6,044","3,463","2,203","5,666",378,"4,208","2,908",922,"3,830",378,"1,836",555,"1,281","1,836",0,587,177,410,587,0,"2,184","1,840",344,667,641,26
DE,1,933,446,416,862,71,652,333,248,581,71,281,113,168,281,0,85,37,48,85,0,248,221,27,127,108,19
