State,Number of CoCs,"Overall Homeless, 2010","Sheltered ES Homeless, 2010","Sheltered TH Homeless, 2010","Sheltered SH Homeless, 2010","Sheltered Total Homeless, 2010","Unsheltered Homeless, 2010","Overall Homeless Individuals, 2010","Sheltered ES Homeless Individuals, 2010","Sheltered TH Homeless Individuals, 2010","Sheltered SH Homeless Individuals, 2010","Sheltered Total Homeless Individuals, 2010","Unsheltered Homeless Individuals, 2010","Overall Homeless People in Families, 2010","Sheltered ES Homeless People in Families, 2010","Sheltered TH Homeless People in Families, 2010","Sheltered Total Homeless People in Families, 2010","Unsheltered Homeless People in Families, 2010","Overall Homeless Family Households, 2010","Sheltered ES Homeless Family Households, 2010","Sheltered TH Homeless Family Households, 2010","Sheltered Total Homeless Family Households, 2010","Unsheltered Homeless Family Households, 2010","Sheltered SH Chronically Homeless, 2010","Overall Chronically Homeless Individuals, 2010","Sheltered ES Chronically Homeless Individuals, 2010","Sheltered SH Chronically Homeless Individuals, 2010","Sheltered Total Chronically Homeless Individuals, 2010","Unsheltered Chronically Homeless Individuals, 2010","Overall Homeless Veterans, 2010","Sheltered Total Homeless Veterans, 2010","Unsheltered Homeless Veterans, 2010"
AK,2,"1,863","1,013",658,0,"1,671",192,"1,118",641,312,0,953,165,745,372,346,718,27,244,113,123,236,8,0,164,119,0,119,45,300,270,30
AL,8,"6,046","1,428","2,463",0,"3,891","2,155","4,553",997,"1,860",0,"2,857","1,696","1,493",431,603,"1,034",459,551,155,234,389,162,0,"1,043",502,0,502,541,"1,089",911,178
AR,5,"2,762",668,"1,060",0,"1,728","1,034","2,120",542,770,0,"1,312",808,642,126,290,416,226,222,52,85,137,85,0,395,145,0,145,250,362,247,115
AS,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
AZ,3,"13,711","3,503","3,671",40,"7,214","6,497","9,226","2,018","1,308",40,"3,366","5,860","4,485","1,485","2,363","3,848",637,"1,372",452,740,"1,192",180,25,"1,935",519,25,544,"1,391","2,230","1,052","1,178"
CA,43,"123,480","23,701","27,115",83,"50,899","72,581","96,940","16,992","15,227",83,"32,302","64,638","26,540","6,709","11,888","18,597","7,943","8,810","2,234","3,980","6,214","2,596",67,"31,235","6,897",67,"6,964","24,271","17,604","6,600","11,004"
CO,3,"15,482","4,895","4,136",0,"9,031","6,451","7,574","3,083","1,493",0,"4,576","2,998","7,908","1,812","2,643","4,455","3,453","2,234",541,812,"1,353",881,0,"1,432",510,0,510,922,"1,316",853,463
CT,10,"4,316","2,314","1,503",0,"3,817",499,"2,993","1,635",876,0,"2,511",482,"1,323",679,627,"1,306",17,447,225,215,440,7,0,777,595,0,595,182,483,423,60
DC,1,"6,539","3,584","2,512",13,"6,109",430,"4,016","2,593",980,13,"3,586",430,"2,523",991,"1,532","2,523",0,800,318,482,800,0,13,"2,110","1,710",13,"1,723",387,579,563,16
DE,1,982,481,439,10,930,52,681,358,261,10,629,52,301,123,178,301,0,111,50,61,111,0,7,97,64,7,71,26,74,69,5
