Year,State,Overall Homeless,Unsheltered Homeless,Overall Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Overall Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Overall Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans,Overall Homeless Unaccompanied Youth (Under 25),Sheltered Total Homeless Unaccompanied Youth (Under 25),Unsheltered Homeless Unaccompanied Youth (Under 25)
2018,NH,"1,450",154,835,142,615,603,12,85,56,20,13,7,143,136,7,81,60,21
2019,UT,"2,798",408,"1,921",405,877,874,3,345,148,19,19,0,211,184,27,163,130,33
2020,WI,"4,515",324,"2,677",304,"1,838","1,818",20,404,80,127,127,0,337,320,17,193,169,24
2019,AL,"3,261","1,191","2,519","1,090",742,641,101,221,129,19,9,10,292,223,69,320,102,218
2020,NC,"9,280","2,558","6,756","2,344","2,524","2,310",214,652,522,98,98,0,798,669,129,485,325,160
2020,MP,"1,207","1,205",323,321,884,0,884,0,0,0,0,0,9,0,9,0,0,0
2019,LA,"2,941",974,"2,416",955,525,506,19,174,257,15,15,0,360,317,43,188,147,41
2019,IN,"5,471",642,"3,783",613,"1,688","1,659",29,264,50,52,50,2,572,529,43,258,209,49
2017,NV,"7,833","4,578","7,281","4,560",552,534,18,121,381,10,2,8,832,492,340,"2,166",235,"1,931"
2018,MP,"1,044","1,022",357,335,687,0,687,0,0,0,0,0,0,0,0,2,2,0
2020,LA,"3,173","1,153","2,591","1,146",582,575,7,172,233,32,32,0,378,336,42,246,164,82
2020,OH,"10,655","1,844","7,636","1,810","3,019","2,985",34,433,267,53,53,0,730,698,32,736,573,163
2020,MO,"6,527","1,648","4,416","1,506","2,111","1,969",142,493,416,181,154,27,453,366,87,664,402,262
2017,AK,"1,845",294,"1,354",294,491,491,0,117,99,41,41,0,124,95,29,162,142,20
2019,WY,548,125,437,108,111,94,17,23,41,3,0,3,51,43,8,81,64,17
2019,ID,"2,315",985,"1,516",685,799,499,300,186,170,93,66,27,201,129,72,188,129,59
2020,AL,"3,351","1,299","2,497","1,204",854,759,95,251,232,20,20,0,329,231,98,175,103,72
2017,ME,"2,280",180,"1,352",108,928,856,72,189,0,12,12,0,131,120,11,178,143,35
